zipcode, #_of_Chick_fil_a, #_of_Tacobells, #_of_Starbucks
00501, 0, 0, 0 
00544, 0, 0, 0 
00601, 0, 0, 0 
00602, 0, 0, 0 
00603, 0, 0, 0 
00604, 0, 0, 0 
00605, 0, 0, 0 
00606, 0, 0, 0 
00610, 0, 0, 0 
00611, 0, 0, 0 
00612, 0, 0, 0 
00613, 0, 0, 0 
00614, 0, 0, 0 
00616, 0, 0, 0 
00617, 0, 0, 0 
00622, 0, 0, 0 
00623, 0, 0, 0 
00624, 0, 0, 0 
00627, 0, 0, 0 
00631, 0, 0, 0 
00636, 0, 0, 0 
00637, 0, 0, 0 
00638, 0, 0, 0 
00641, 0, 0, 0 
00646, 0, 0, 0 
00647, 0, 0, 0 
00650, 0, 0, 0 
00652, 0, 0, 0 
00653, 0, 0, 0 
00656, 0, 0, 0 
00659, 0, 0, 0 
00660, 0, 0, 0 
00662, 0, 0, 0 
00664, 0, 0, 0 
00667, 0, 0, 0 
00669, 0, 0, 0 
00670, 0, 0, 0 
00674, 0, 0, 0 
00676, 0, 0, 0 
00677, 0, 0, 0 
00678, 0, 0, 0 
00680, 0, 0, 0 
00681, 0, 0, 0 
00682, 0, 0, 0 
00683, 0, 0, 0 
00685, 0, 0, 0 
00687, 0, 0, 0 
00688, 0, 0, 0 
00690, 0, 0, 0 
00692, 0, 0, 0 
00693, 0, 0, 0 
00694, 0, 0, 0 
00698, 0, 0, 0 
00703, 0, 0, 0 
00704, 0, 0, 0 
00705, 0, 0, 0 
00707, 0, 0, 0 
00714, 0, 0, 0 
00715, 0, 0, 0 
00716, 0, 0, 0 
00717, 0, 0, 0 
00718, 0, 0, 0 
00719, 0, 0, 0 
00720, 0, 0, 0 
00721, 0, 0, 0 
00723, 0, 0, 0 
00725, 0, 0, 0 
00726, 0, 0, 0 
00727, 0, 0, 0 
00728, 0, 0, 0 
00729, 0, 0, 0 
00730, 0, 0, 0 
00731, 0, 0, 0 
00732, 0, 0, 0 
00733, 0, 0, 0 
00734, 0, 0, 0 
00735, 0, 0, 0 
00736, 0, 0, 0 
00737, 0, 0, 0 
00738, 0, 0, 0 
00739, 0, 0, 0 
00740, 0, 0, 0 
00741, 0, 0, 0 
00742, 0, 0, 0 
00744, 0, 0, 0 
00745, 0, 0, 0 
00751, 0, 0, 0 
00754, 0, 0, 0 
00757, 0, 0, 0 
00765, 0, 0, 0 
00766, 0, 0, 0 
00767, 0, 0, 0 
00769, 0, 0, 0 
00771, 0, 0, 0 
00772, 0, 0, 0 
00773, 0, 0, 0 
00775, 0, 0, 0 
00777, 0, 0, 0 
00778, 0, 0, 0 
00780, 0, 0, 0 
00782, 0, 0, 0 
00783, 0, 0, 0 
00784, 0, 0, 0 
00785, 0, 0, 0 
00786, 0, 0, 0 
00791, 0, 0, 0 
00792, 0, 0, 0 
00794, 0, 0, 0 
00795, 0, 0, 0 
00801, 0, 0, 0 
00802, 0, 0, 0 
00803, 0, 0, 0 
00804, 0, 0, 0 
00805, 0, 0, 0 
00820, 0, 0, 0 
00821, 0, 0, 0 
00822, 0, 0, 0 
00823, 0, 0, 0 
00824, 0, 0, 0 
00830, 0, 0, 0 
00831, 0, 0, 0 
00840, 0, 0, 0 
00841, 0, 0, 0 
00850, 0, 0, 0 
00851, 0, 0, 0 
00901, 0, 0, 0 
00902, 0, 0, 0 
00906, 0, 0, 0 
00907, 0, 0, 0 
00908, 0, 0, 0 
00909, 0, 0, 0 
00910, 0, 0, 0 
00911, 0, 0, 0 
00912, 0, 0, 0 
00913, 0, 0, 0 
00914, 0, 0, 0 
00915, 0, 0, 0 
00916, 0, 0, 0 
00917, 0, 0, 0 
00918, 0, 0, 0 
00919, 0, 0, 0 
00920, 0, 0, 0 
00921, 0, 0, 0 
00922, 0, 0, 0 
00923, 0, 0, 0 
00924, 0, 0, 0 
00925, 0, 0, 0 
00926, 0, 0, 0 
00927, 0, 0, 0 
00928, 0, 0, 0 
00929, 0, 0, 0 
00930, 0, 0, 0 
00931, 0, 0, 0 
00933, 0, 0, 0 
00934, 0, 0, 0 
00935, 0, 0, 0 
00936, 0, 0, 0 
00937, 0, 0, 0 
00939, 0, 0, 0 
00940, 0, 0, 0 
00949, 0, 0, 0 
00950, 0, 0, 0 
00951, 0, 0, 0 
00952, 0, 0, 0 
00953, 0, 0, 0 
00954, 0, 0, 0 
00955, 0, 0, 0 
00956, 0, 0, 0 
00957, 0, 0, 0 
00958, 0, 0, 0 
00959, 0, 0, 0 
00960, 0, 0, 0 
00961, 0, 0, 0 
00962, 0, 0, 0 
00963, 0, 0, 0 
00965, 0, 0, 0 
00966, 0, 0, 0 
00968, 0, 0, 0 
00969, 0, 0, 0 
00970, 0, 0, 0 
00971, 0, 0, 0 
00975, 0, 0, 0 
00976, 0, 0, 0 
00977, 0, 0, 0 
00978, 0, 0, 0 
00979, 0, 0, 0 
00981, 0, 0, 0 
00982, 0, 0, 0 
00983, 0, 0, 0 
00984, 0, 0, 0 
00985, 0, 0, 0 
00986, 0, 0, 0 
00987, 0, 0, 0 
00988, 0, 0, 0 
01001, 0, 0, 0 
01002, 0, 0, 0 
01003, 0, 0, 0 
01004, 0, 0, 0 
01005, 0, 0, 0 
01007, 0, 0, 0 
01008, 0, 0, 0 
01009, 0, 0, 0 
01010, 0, 0, 0 
01011, 0, 0, 0 
01012, 0, 0, 0 
01013, 0, 0, 0 
01014, 0, 0, 0 
01020, 1, 0, 0 
01021, 0, 0, 0 
01022, 0, 0, 0 
01026, 0, 0, 0 
01027, 0, 0, 0 
01028, 0, 0, 0 
01029, 0, 0, 0 
01030, 0, 0, 0 
01031, 0, 0, 0 
01032, 0, 0, 0 
01033, 0, 0, 0 
01034, 0, 0, 0 
01035, 0, 0, 0 
01036, 0, 0, 0 
01037, 0, 0, 0 
01038, 0, 0, 0 
01039, 0, 0, 0 
01040, 0, 0, 0 
01041, 0, 0, 0 
01050, 0, 0, 0 
01053, 0, 0, 0 
01054, 0, 0, 0 
01056, 0, 0, 0 
01057, 0, 0, 0 
01059, 0, 0, 0 
01060, 0, 0, 0 
01061, 0, 0, 0 
01062, 0, 0, 0 
01063, 0, 0, 0 
01066, 0, 0, 0 
01068, 0, 0, 0 
01069, 0, 0, 0 
01070, 0, 0, 0 
01071, 0, 0, 0 
01072, 0, 0, 0 
01073, 0, 0, 0 
01074, 0, 0, 0 
01075, 0, 0, 0 
01077, 0, 0, 0 
01079, 0, 0, 0 
01080, 0, 0, 0 
01081, 0, 0, 0 
01082, 0, 0, 0 
01083, 0, 0, 0 
01084, 0, 0, 0 
01085, 0, 0, 0 
01086, 0, 0, 0 
01088, 0, 0, 0 
01089, 0, 0, 0 
01090, 0, 0, 0 
01092, 0, 0, 0 
01093, 0, 0, 0 
01094, 0, 0, 0 
01095, 0, 0, 0 
01096, 0, 0, 0 
01097, 0, 0, 0 
01098, 0, 0, 0 
01101, 0, 0, 0 
01102, 0, 0, 0 
01103, 0, 0, 0 
01104, 0, 0, 0 
01105, 0, 0, 0 
01106, 0, 0, 0 
01107, 0, 0, 0 
01108, 0, 0, 0 
01109, 0, 0, 0 
01111, 0, 0, 0 
01115, 0, 0, 0 
01116, 0, 0, 0 
01118, 0, 0, 0 
01119, 0, 0, 0 
01128, 0, 0, 0 
01129, 0, 0, 0 
01133, 0, 0, 0 
01138, 0, 0, 0 
01139, 0, 0, 0 
01144, 0, 0, 0 
01151, 0, 0, 0 
01152, 0, 0, 0 
01195, 0, 0, 0 
01199, 0, 0, 0 
01201, 0, 0, 0 
01202, 0, 0, 0 
01203, 0, 0, 0 
01220, 0, 0, 0 
01222, 0, 0, 0 
01223, 0, 0, 0 
01224, 0, 0, 0 
01225, 0, 0, 0 
01226, 0, 0, 0 
01227, 0, 0, 0 
01229, 0, 0, 0 
01230, 0, 0, 0 
01235, 0, 0, 0 
01236, 0, 0, 0 
01237, 0, 0, 0 
01238, 0, 0, 0 
01240, 0, 0, 0 
01242, 0, 0, 0 
01243, 0, 0, 0 
01244, 0, 0, 0 
01245, 0, 0, 0 
01247, 0, 0, 0 
01252, 0, 0, 0 
01253, 0, 0, 0 
01254, 0, 0, 0 
01255, 0, 0, 0 
01256, 0, 0, 0 
01257, 0, 0, 0 
01258, 0, 0, 0 
01259, 0, 0, 0 
01260, 0, 0, 0 
01262, 0, 0, 0 
01263, 0, 0, 0 
01264, 0, 0, 0 
01266, 0, 0, 0 
01267, 0, 0, 0 
01270, 0, 0, 0 
01301, 0, 0, 0 
01302, 0, 0, 0 
01330, 0, 0, 0 
01331, 0, 0, 0 
01337, 0, 0, 0 
01338, 0, 0, 0 
01339, 0, 0, 0 
01340, 0, 0, 0 
01341, 0, 0, 0 
01342, 0, 0, 0 
01343, 0, 0, 0 
01344, 0, 0, 0 
01346, 0, 0, 0 
01347, 0, 0, 0 
01349, 0, 0, 0 
01350, 0, 0, 0 
01351, 0, 0, 0 
01354, 0, 0, 0 
01355, 0, 0, 0 
01360, 0, 0, 0 
01364, 0, 0, 0 
01366, 0, 0, 0 
01367, 0, 0, 0 
01368, 0, 0, 0 
01370, 0, 0, 0 
01373, 0, 0, 0 
01375, 0, 0, 0 
01376, 0, 0, 0 
01378, 0, 0, 0 
01379, 0, 0, 0 
01380, 0, 0, 0 
01420, 0, 0, 0 
01430, 0, 0, 0 
01431, 0, 0, 0 
01432, 0, 0, 0 
01434, 0, 0, 0 
01436, 0, 0, 0 
01438, 0, 0, 0 
01440, 0, 0, 0 
01441, 0, 0, 0 
01450, 0, 0, 0 
01451, 0, 0, 0 
01452, 0, 0, 0 
01453, 0, 0, 0 
01460, 0, 0, 0 
01462, 0, 0, 0 
01463, 0, 0, 0 
01464, 0, 0, 0 
01467, 0, 0, 0 
01468, 0, 0, 0 
01469, 0, 0, 0 
01470, 0, 0, 0 
01471, 0, 0, 0 
01472, 0, 0, 0 
01473, 0, 0, 0 
01474, 0, 0, 0 
01475, 0, 0, 0 
01477, 0, 0, 0 
01501, 0, 0, 0 
01503, 0, 0, 0 
01504, 0, 0, 0 
01505, 0, 0, 0 
01506, 0, 0, 0 
01507, 0, 0, 0 
01508, 0, 0, 0 
01509, 0, 0, 0 
01510, 0, 0, 0 
01515, 0, 0, 0 
01516, 0, 0, 0 
01517, 0, 0, 0 
01518, 0, 0, 0 
01519, 0, 0, 0 
01520, 0, 0, 0 
01521, 0, 0, 0 
01522, 0, 0, 0 
01523, 0, 0, 0 
01524, 0, 0, 0 
01525, 0, 0, 0 
01526, 0, 0, 0 
01527, 0, 0, 0 
01529, 0, 0, 0 
01531, 0, 0, 0 
01532, 0, 0, 0 
01534, 0, 0, 0 
01535, 0, 0, 0 
01536, 0, 0, 0 
01537, 0, 0, 0 
01538, 0, 0, 0 
01540, 0, 0, 0 
01541, 0, 0, 0 
01542, 0, 0, 0 
01543, 0, 0, 0 
01545, 0, 0, 0 
01546, 0, 0, 0 
01550, 0, 0, 0 
01560, 0, 0, 0 
01561, 0, 0, 0 
01562, 0, 0, 0 
01564, 0, 0, 0 
01566, 0, 0, 0 
01568, 0, 0, 0 
01569, 0, 0, 0 
01570, 0, 0, 0 
01571, 0, 0, 0 
01580, 0, 0, 0 
01581, 1, 0, 0 
01582, 0, 0, 0 
01583, 0, 0, 0 
01585, 0, 0, 0 
01586, 0, 0, 0 
01588, 0, 0, 0 
01590, 0, 0, 0 
01601, 0, 0, 0 
01602, 0, 0, 0 
01603, 0, 0, 0 
01604, 0, 0, 0 
01605, 0, 0, 0 
01606, 1, 0, 0 
01607, 0, 0, 0 
01608, 0, 0, 0 
01609, 0, 0, 0 
01610, 0, 0, 0 
01611, 0, 0, 0 
01612, 0, 0, 0 
01613, 0, 0, 0 
01614, 0, 0, 0 
01615, 0, 0, 0 
01653, 0, 0, 0 
01654, 0, 0, 0 
01655, 0, 0, 0 
01701, 1, 0, 0 
01702, 0, 0, 0 
01703, 0, 0, 0 
01704, 0, 0, 0 
01705, 0, 0, 0 
01718, 0, 0, 0 
01719, 0, 0, 0 
01720, 0, 0, 0 
01721, 0, 0, 0 
01730, 0, 0, 0 
01731, 0, 0, 0 
01740, 0, 0, 0 
01741, 0, 0, 0 
01742, 0, 0, 0 
01745, 0, 0, 0 
01746, 0, 0, 0 
01747, 0, 0, 0 
01748, 0, 0, 0 
01749, 0, 0, 0 
01752, 1, 0, 0 
01754, 0, 0, 0 
01756, 0, 0, 0 
01757, 0, 0, 0 
01760, 0, 0, 0 
01770, 0, 0, 0 
01772, 0, 0, 0 
01773, 0, 0, 0 
01775, 0, 0, 0 
01776, 0, 0, 0 
01778, 0, 0, 0 
01784, 0, 0, 0 
01801, 0, 0, 0 
01803, 1, 0, 0 
01805, 0, 0, 0 
01806, 0, 0, 0 
01807, 0, 0, 0 
01808, 0, 0, 0 
01810, 0, 0, 0 
01812, 0, 0, 0 
01813, 0, 0, 0 
01815, 0, 0, 0 
01821, 0, 0, 0 
01822, 0, 0, 0 
01824, 0, 0, 0 
01826, 0, 0, 0 
01827, 0, 0, 0 
01830, 0, 0, 0 
01831, 0, 0, 0 
01832, 0, 0, 0 
01833, 0, 0, 0 
01834, 0, 0, 0 
01835, 0, 0, 0 
01840, 0, 0, 0 
01841, 0, 0, 0 
01842, 0, 0, 0 
01843, 0, 0, 0 
01844, 0, 0, 0 
01845, 0, 0, 0 
01850, 0, 0, 0 
01851, 0, 0, 0 
01852, 0, 0, 0 
01853, 0, 0, 0 
01854, 0, 0, 0 
01860, 0, 0, 0 
01862, 0, 0, 0 
01863, 0, 0, 0 
01864, 0, 0, 0 
01865, 0, 0, 0 
01866, 0, 0, 0 
01867, 0, 0, 0 
01876, 0, 0, 0 
01879, 0, 0, 0 
01880, 0, 0, 0 
01885, 0, 0, 0 
01886, 0, 0, 0 
01887, 0, 0, 0 
01888, 0, 0, 0 
01889, 0, 0, 0 
01890, 0, 0, 0 
01899, 0, 0, 0 
01901, 0, 0, 0 
01902, 0, 0, 0 
01903, 0, 0, 0 
01904, 0, 0, 0 
01905, 0, 0, 0 
01906, 0, 0, 0 
01907, 0, 0, 0 
01908, 0, 0, 0 
01910, 0, 0, 0 
01913, 0, 0, 0 
01915, 0, 0, 0 
01921, 0, 0, 0 
01922, 0, 0, 0 
01923, 0, 0, 0 
01929, 0, 0, 0 
01930, 0, 0, 0 
01931, 0, 0, 0 
01936, 0, 0, 0 
01937, 0, 0, 0 
01938, 0, 0, 0 
01940, 0, 0, 0 
01944, 0, 0, 0 
01945, 0, 0, 0 
01949, 0, 0, 0 
01950, 0, 0, 0 
01951, 0, 0, 0 
01952, 0, 0, 0 
01960, 1, 0, 0 
01961, 0, 0, 0 
01965, 0, 0, 0 
01966, 0, 0, 0 
01969, 0, 0, 0 
01970, 0, 0, 0 
01971, 0, 0, 0 
01982, 0, 0, 0 
01983, 0, 0, 0 
01984, 0, 0, 0 
01985, 0, 0, 0 
02018, 0, 0, 0 
02019, 0, 0, 0 
02020, 0, 0, 0 
02021, 0, 0, 0 
02025, 0, 0, 0 
02026, 1, 0, 0 
02027, 0, 0, 0 
02030, 0, 0, 0 
02031, 0, 0, 0 
02032, 0, 0, 0 
02035, 0, 0, 0 
02038, 0, 0, 0 
02040, 0, 0, 0 
02041, 0, 0, 0 
02043, 0, 0, 0 
02044, 0, 0, 0 
02045, 0, 0, 0 
02047, 0, 0, 0 
02048, 0, 0, 0 
02050, 0, 0, 0 
02051, 0, 0, 0 
02052, 0, 0, 0 
02053, 0, 0, 0 
02054, 0, 0, 0 
02055, 0, 0, 0 
02056, 0, 0, 0 
02059, 0, 0, 0 
02060, 0, 0, 0 
02061, 0, 0, 0 
02062, 0, 0, 0 
02065, 0, 0, 0 
02066, 0, 0, 0 
02067, 0, 0, 0 
02070, 0, 0, 0 
02071, 0, 0, 0 
02072, 0, 0, 0 
02081, 0, 0, 0 
02090, 0, 0, 0 
02093, 0, 0, 0 
02108, 0, 0, 0 
02109, 0, 0, 0 
02110, 0, 0, 0 
02111, 0, 0, 0 
02112, 0, 0, 0 
02113, 0, 0, 0 
02114, 0, 0, 0 
02115, 0, 0, 0 
02116, 0, 0, 0 
02117, 0, 0, 0 
02118, 0, 0, 0 
02119, 0, 0, 0 
02120, 0, 0, 0 
02121, 0, 0, 0 
02122, 0, 0, 0 
02123, 0, 0, 0 
02124, 0, 0, 0 
02125, 0, 0, 0 
02126, 0, 0, 0 
02127, 0, 0, 0 
02128, 0, 0, 0 
02129, 0, 0, 0 
02130, 0, 0, 0 
02131, 0, 0, 0 
02132, 0, 0, 0 
02133, 0, 0, 0 
02134, 0, 0, 0 
02135, 0, 0, 0 
02136, 0, 0, 0 
02137, 0, 0, 0 
02138, 0, 0, 0 
02139, 0, 0, 0 
02140, 0, 0, 0 
02141, 0, 0, 0 
02142, 0, 0, 0 
02143, 0, 0, 0 
02144, 0, 0, 0 
02145, 0, 0, 0 
02148, 0, 0, 0 
02149, 0, 0, 0 
02150, 0, 0, 0 
02151, 0, 0, 0 
02152, 0, 0, 0 
02153, 0, 0, 0 
02155, 0, 0, 0 
02156, 0, 0, 0 
02163, 0, 0, 0 
02169, 0, 0, 0 
02170, 0, 0, 0 
02171, 0, 0, 0 
02176, 0, 0, 0 
02180, 0, 0, 0 
02184, 0, 0, 0 
02185, 0, 0, 0 
02186, 0, 0, 0 
02187, 0, 0, 0 
02188, 0, 0, 0 
02189, 0, 0, 0 
02190, 0, 0, 0 
02191, 0, 0, 0 
02196, 0, 0, 0 
02199, 0, 0, 0 
02201, 0, 0, 0 
02203, 0, 0, 0 
02204, 0, 0, 0 
02205, 0, 0, 0 
02206, 0, 0, 0 
02207, 0, 0, 0 
02210, 0, 0, 0 
02211, 0, 0, 0 
02212, 0, 0, 0 
02215, 0, 0, 0 
02216, 0, 0, 0 
02217, 0, 0, 0 
02222, 0, 0, 0 
02228, 0, 0, 0 
02238, 0, 0, 0 
02239, 0, 0, 0 
02241, 0, 0, 0 
02266, 0, 0, 0 
02269, 0, 0, 0 
02283, 0, 0, 0 
02284, 0, 0, 0 
02293, 0, 0, 0 
02295, 0, 0, 0 
02297, 0, 0, 0 
02298, 0, 0, 0 
02301, 0, 0, 0 
02302, 0, 0, 0 
02303, 0, 0, 0 
02304, 0, 0, 0 
02305, 0, 0, 0 
02322, 0, 0, 0 
02324, 0, 0, 0 
02325, 0, 0, 0 
02327, 0, 0, 0 
02330, 0, 0, 0 
02331, 0, 0, 0 
02332, 0, 0, 0 
02333, 0, 0, 0 
02334, 0, 0, 0 
02337, 0, 0, 0 
02338, 0, 0, 0 
02339, 0, 0, 0 
02340, 0, 0, 0 
02341, 0, 0, 0 
02343, 0, 0, 0 
02344, 0, 0, 0 
02345, 0, 0, 0 
02346, 0, 0, 0 
02347, 0, 0, 0 
02348, 0, 0, 0 
02349, 0, 0, 0 
02350, 0, 0, 0 
02351, 0, 0, 0 
02355, 0, 0, 0 
02356, 0, 0, 0 
02357, 0, 0, 0 
02358, 0, 0, 0 
02359, 0, 0, 0 
02360, 0, 0, 0 
02361, 0, 0, 0 
02362, 0, 0, 0 
02364, 0, 0, 0 
02366, 0, 0, 0 
02367, 0, 0, 0 
02368, 0, 0, 0 
02370, 0, 0, 0 
02375, 0, 0, 0 
02379, 0, 0, 0 
02381, 0, 0, 0 
02382, 0, 0, 0 
02420, 0, 0, 0 
02421, 0, 0, 0 
02445, 0, 0, 0 
02446, 0, 0, 0 
02447, 0, 0, 0 
02451, 0, 0, 0 
02452, 0, 0, 0 
02453, 0, 0, 0 
02454, 0, 0, 0 
02455, 0, 0, 0 
02456, 0, 0, 0 
02457, 0, 0, 0 
02458, 0, 0, 0 
02459, 0, 0, 0 
02460, 0, 0, 0 
02461, 0, 0, 0 
02462, 0, 0, 0 
02464, 0, 0, 0 
02465, 0, 0, 0 
02466, 0, 0, 0 
02467, 0, 0, 0 
02468, 0, 0, 0 
02471, 0, 0, 0 
02472, 0, 0, 0 
02474, 0, 0, 0 
02475, 0, 0, 0 
02476, 0, 0, 0 
02477, 0, 0, 0 
02478, 0, 0, 0 
02479, 0, 0, 0 
02481, 0, 0, 0 
02482, 0, 0, 0 
02492, 0, 0, 0 
02493, 0, 0, 0 
02494, 0, 0, 0 
02495, 0, 0, 0 
02532, 0, 0, 0 
02534, 0, 0, 0 
02535, 0, 0, 0 
02536, 0, 0, 0 
02537, 0, 0, 0 
02538, 0, 0, 0 
02539, 0, 0, 0 
02540, 0, 0, 0 
02541, 0, 0, 0 
02542, 0, 0, 0 
02543, 0, 0, 0 
02552, 0, 0, 0 
02553, 0, 0, 0 
02554, 0, 0, 0 
02556, 0, 0, 0 
02557, 0, 0, 0 
02558, 0, 0, 0 
02559, 0, 0, 0 
02561, 0, 0, 0 
02562, 0, 0, 0 
02563, 0, 0, 0 
02564, 0, 0, 0 
02565, 0, 0, 0 
02568, 0, 0, 0 
02571, 0, 0, 0 
02573, 0, 0, 0 
02574, 0, 0, 0 
02575, 0, 0, 0 
02576, 0, 0, 0 
02584, 0, 0, 0 
02601, 1, 0, 0 
02630, 0, 0, 0 
02631, 0, 0, 0 
02632, 0, 0, 0 
02633, 0, 0, 0 
02634, 0, 0, 0 
02635, 0, 0, 0 
02636, 0, 0, 0 
02637, 0, 0, 0 
02638, 0, 0, 0 
02639, 0, 0, 0 
02641, 0, 0, 0 
02642, 0, 0, 0 
02643, 0, 0, 0 
